"trial","imagefile","corrAns","angle"
1,"ressources/i14_50_R.jpg","d",50
2,"ressources/i36_100_R.jpg","d",100
3,"ressources/i23_150_R.jpg","d",150
4,"ressources/i6_100.jpg","k",100
5,"ressources/i30_150.jpg","k",150
6,"ressources/i19_50.jpg","k",50
7,"ressources/i23_50.jpg","k",50
8,"ressources/i19_150_R.jpg","d",150
9,"ressources/i45_100_R.jpg","d",100
10,"ressources/i11_100.jpg","k",100
11,"ressources/i41_100_R.jpg","d",100
12,"ressources/i31_150.jpg","k",150
13,"ressources/i26_50.jpg","k",50
14,"ressources/i4_100.jpg","k",100
15,"ressources/i33_100_R.jpg","d",100
16,"ressources/i12_50_R.jpg","d",50
17,"ressources/i3_100.jpg","k",100
18,"ressources/i44_0.jpg","k",0
19,"ressources/i39_150.jpg","k",150
20,"ressources/i16_150_R.jpg","d",150
21,"ressources/i35_150.jpg","k",150
22,"ressources/i42_150.jpg","k",150
23,"ressources/i35_0.jpg","k",0
24,"ressources/i7_50_R.jpg","d",50
25,"ressources/i14_150_R.jpg","d",150
26,"ressources/i38_150.jpg","k",150
27,"ressources/i37_150.jpg","k",150
28,"ressources/i19_0.jpg","k",0
29,"ressources/i10_100.jpg","k",100
30,"ressources/i12_100.jpg","k",100
31,"ressources/i27_150_R.jpg","d",150
32,"ressources/i24_150_R.jpg","d",150
33,"ressources/i34_150.jpg","k",150
34,"ressources/i40_150.jpg","k",150
35,"ressources/i32_150.jpg","k",150
36,"ressources/i17_150_R.jpg","d",150
37,"ressources/i41_150.jpg","k",150
38,"ressources/i15_150_R.jpg","d",150
39,"ressources/i13_150_R.jpg","d",150
40,"ressources/i2_100.jpg","k",100
41,"ressources/i4_50_R.jpg","d",50
42,"ressources/i5_100.jpg","k",100
43,"ressources/i6_50_R.jpg","d",50
44,"ressources/i8_100.jpg","k",100
45,"ressources/i15_50_R.jpg","d",50
46,"ressources/i30_50.jpg","k",50
47,"ressources/i29_50.jpg","k",50
48,"ressources/i29_150.jpg","k",150
49,"ressources/i9_100.jpg","k",100
50,"ressources/i35_100_R.jpg","d",100
51,"ressources/i33_150.jpg","k",150
52,"ressources/i21_150_R.jpg","d",150
53,"ressources/i39_0.jpg","k",0
54,"ressources/i48_100.jpg","k",100
55,"ressources/i7_100.jpg","k",100
56,"ressources/i14_0.jpg","k",0
57,"ressources/i3_50_R.jpg","d",50
58,"ressources/i47_100.jpg","k",100
59,"ressources/i32_100_R.jpg","d",100
60,"ressources/i10_50_R.jpg","d",50
61,"ressources/i43_100_R.jpg","d",100
62,"ressources/i18_50.jpg","k",50
63,"ressources/i22_150_R.jpg","d",150
64,"ressources/i8_50_R.jpg","d",50
65,"ressources/i29_0.jpg","k",0
66,"ressources/i2_50_R.jpg","d",50
67,"ressources/i26_150_R.jpg","d",150
68,"ressources/i28_50.jpg","k",50
69,"ressources/i18_150_R.jpg","d",150
70,"ressources/i44_100_R.jpg","d",100
71,"ressources/i9_0.jpg","k",0
72,"ressources/i25_0.jpg","k",0
73,"ressources/i9_50_R.jpg","d",50
74,"ressources/i36_150.jpg","k",150
75,"ressources/i28_150.jpg","k",150
76,"ressources/i42_100_R.jpg","d",100
77,"ressources/i39_100_R.jpg","d",100
78,"ressources/i1_100.jpg","k",100
79,"ressources/i38_100_R.jpg","d",100
80,"ressources/i21_50.jpg","k",50
81,"ressources/i27_50.jpg","k",50
82,"ressources/i22_50.jpg","k",50
83,"ressources/i11_50_R.jpg","d",50
84,"ressources/i20_150_R.jpg","d",150
85,"ressources/i37_100_R.jpg","d",100
86,"ressources/i31_100_R.jpg","d",100
87,"ressources/i40_100_R.jpg","d",100
88,"ressources/i46_100.jpg","k",100
89,"ressources/i20_50.jpg","k",50
90,"ressources/i5_0.jpg","k",0
91,"ressources/i25_150_R.jpg","d",150
92,"ressources/i5_50_R.jpg","d",50
93,"ressources/i25_50.jpg","k",50
94,"ressources/i17_50.jpg","k",50
95,"ressources/i1_50_R.jpg","d",50
96,"ressources/i13_50_R.jpg","d",50
97,"ressources/i34_100_R.jpg","d",100
98,"ressources/i16_50.jpg","k",50
99,"ressources/i24_50.jpg","k",50
100,"ressources/i1_0.jpg","k",0
