stim_fr,stim_eng,trial
Jaune - Bleu,Yellow - Blue,1
Piano - Tambour,Piano - Drum,2
Poème - Statue,Poem - Statue,3
Bourgeon - Bébé,Bud - Baby,4
Miel - Lait,Honey - Milk,5
Nourriture - Carburant,Food - Fuel,6
Cube - Cylindre,Cube - Cylinder,7
Nez - Langue,Nose - Tongue,8
Soie - Laine,Silk - Wool,9
Éolienne - Barrage,Wind turbine - Dam,10
Éphémère - Permanent,Ephemeral - Permanent,11
Inondation - Sècheresse,Flooding - Drought,12
Sédentaire - Nomade,Sedentary - Nomadic,13
Autoriser - Interdire,Allow - disallow,14
Réalité - Rêve,Reality - Dream,15
